farmer_id,region,age,gender,education_level,years_farming,acreage_ha,soil_class,coop_member,water_access_index,expected_income_usd,mpesa_transactions_per_month,mpesa_consistency_score,mpesa_bill_payment_score,mpesa_income_regularity,pd_latent,default_12m,risk_tier,credit_score
0,Rift Valley,52,Male,None,11,3.060686923514117,3,0,0.8937916437251967,2359.0117375625337,15.0,0.9318555418639107,0.7664449393610907,0.8326793805343022,0.34159899134133775,0,D,709.0
1,Coast,46,Male,None,10,6.15135905550431,2,0,0.21700310338648252,6324.959286171258,14.0,0.8173694392936413,0.6871514540027582,0.6205508034335075,0.2821607997376573,0,D,760.0
2,Nyanza,40,Female,Primary,4,5.751297944692717,3,0,0.31409837421580244,4097.951226584284,13.0,0.9085324603246674,0.6579854504645462,0.5180089610144352,0.4938358868900047,0,E,580.0
3,Western,37,Male,Primary,19,2.1053050834592777,2,0,0.09658702008096132,1403.1884808097948,17.0,0.795210958037749,0.531119324172599,0.442038713950501,0.4011022122882738,1,E,659.0
4,Central,60,Female,Tertiary,5,5.395966083295381,2,0,0.4514842118783251,5095.949880745789,12.0,0.6391449232563989,0.3039736874759059,0.7878320324085454,0.36729151453858977,1,D,687.0
5,Central,60,Male,Primary,1,3.646776384331572,4,0,0.340795682906027,1282.6028671519332,8.0,0.8938078715492572,0.8612269586873171,0.8465504084999894,0.4582222557049017,1,E,610.0
6,Central,47,Female,Primary,13,2.5748748982279857,1,0,0.4418200352556949,3126.9771056029313,18.0,0.7786664682125533,0.7646210410799037,0.29207834153017687,0.32194617897195477,0,D,726.0
7,Eastern,38,Female,None,20,11.411477946801375,4,0,0.3253198002372056,4827.246263948435,11.0,0.5688296893883263,0.6641818629819437,0.7739884800504641,0.4447119512694584,0,E,621.0
8,Western,56,Male,None,13,2.887414274938449,4,0,0.7739668782259063,1536.6990376066212,15.0,0.7131014121863839,0.5811556723157708,0.8030669434602008,0.3966526961841589,0,D,662.0
9,Nyanza,27,Male,Primary,9,11.113539366392681,3,1,0.8545436329962803,8000.0,14.0,0.9084431643675508,0.5880555225184969,0.8009222659827079,0.3560015733183968,0,D,697.0
10,Central,51,Male,Secondary,9,2.5275502305523543,2,0,0.7715974729989423,3019.8765690650403,15.0,0.4111914571044074,0.9584591133090498,0.983857594376857,0.3857177815013436,0,D,672.0
11,Coast,43,Male,None,3,2.997335353878764,1,0,0.3802500744286786,4292.4191785790645,21.0,0.9355014360995126,0.4927183225977288,0.5659867928666795,0.507498952791079,0,E,568.0
12,Eastern,46,Female,Primary,2,2.756120010228523,3,1,0.3186171833207927,2394.354543928754,10.0,0.67348400546903,0.8343597202308365,0.5189898270777549,0.41201328854425107,0,E,649.0
13,Central,25,Male,None,7,7.688843833511329,3,0,0.5823856801195699,6022.363075694812,13.0,0.879286203838655,0.5339933030760083,0.5574119696532198,0.38837215077536535,0,D,669.0
14,Central,29,Male,Secondary,11,1.6624704597789504,3,0,0.3641349018210178,344.8443655621402,18.0,0.7554642832513123,0.7680591997554288,0.5287227357690645,0.37692510728241596,0,D,679.0
15,Central,57,Male,Primary,18,4.802679454123207,1,0,0.6591438014326176,8000.0,22.0,0.6494205940428579,0.8469084261353129,0.7735415851401781,0.25130398018470373,0,D,786.0
16,Rift Valley,43,Male,None,25,4.55544399444288,2,0,0.390580858762164,4465.045122992128,15.0,0.6852220985345411,0.7982657764981416,0.7743356193992651,0.4292082227759219,0,E,635.0
17,Rift Valley,60,Male,Primary,25,4.57665877003517,2,1,0.40874439637476295,7408.392838952008,16.0,0.5552017474347893,0.9493612300860312,0.9718416767521948,0.37263177066274467,1,D,683.0
18,Rift Valley,30,Female,Tertiary,12,11.411477946801375,3,1,0.482778388224559,8000.0,14.0,0.8494515222145302,0.7439286181278076,0.717544543025043,0.4065233635620214,0,E,654.0
19,Central,39,Male,Primary,1,2.8010732044217312,3,0,0.7982670833052463,1842.41117445072,16.0,0.723910987508318,0.8623454013760152,0.7451527087483768,0.36025772398484784,0,D,693.0
20,Western,60,Male,Primary,8,11.411477946801375,3,1,0.05641776908385219,8000.0,14.0,0.9051448232277713,0.8154710571607969,0.8821358963403185,0.3187395822251459,1,D,729.0
21,Central,57,Male,None,37,8.142885235530732,1,0,0.43664581718336587,8000.0,15.0,0.7775721218513298,0.8049869752362692,0.5164876880428154,0.3447675628515564,1,D,706.0
22,Central,48,Female,Tertiary,7,1.043459830013267,1,1,0.3568825049846177,1908.7729270062243,8.0,0.7801636615680658,0.5268372859439279,0.48932487758504223,0.3416572063659707,0,D,709.0
23,Rift Valley,51,Male,Primary,33,1.3345103231913458,1,0,0.4741434404917915,1786.6378198839525,12.0,0.7243404547196146,0.8889913175700804,0.6386716228374736,0.3366996776530479,0,D,713.0
24,Rift Valley,35,Male,Primary,17,7.552231867225743,1,1,0.8052283573143907,8000.0,15.0,0.4620988966964782,0.31353201960018345,0.768057136742626,0.27490877290131566,1,D,766.0
25,Nyanza,47,Male,None,16,1.8303189022391488,2,0,0.4938207399103323,1803.921116017702,19.0,0.5450750658558069,0.8144142421272251,0.5889597466886827,0.5495931584225269,1,E,532.0
26,Central,57,Female,Tertiary,17,4.042894202084775,2,1,0.6063912302201557,4710.929960244333,11.0,0.5416531300545171,0.26541277408639613,0.7544237781286284,0.41786240925621787,1,E,644.0
27,Rift Valley,53,Male,Primary,35,1.9070654341629996,1,0,0.7215115963422958,2407.6600152086144,13.0,0.7727490667895113,0.6787763316775007,0.3858006279167591,0.34436046944267085,1,D,707.0
28,Western,55,Male,None,30,2.29311802208033,1,0,0.6567398717388878,3282.9127028891344,21.0,0.9608377953888662,0.8172618084342621,0.67061232303766,0.32234986338105187,1,D,726.0
29,Central,25,Male,None,7,2.7076465955673785,2,0,0.5074261943213122,2964.943565969145,13.0,0.8452906483204429,0.6446287447335082,0.8419915243239898,0.3968490814244545,0,D,662.0
30,Western,58,Female,Secondary,18,7.304795163846234,4,0,0.7472486612854383,1984.4003040537434,16.0,0.4632313158740467,0.5629407625491187,0.42746176033192024,0.425424248189422,1,E,638.0
31,Central,42,Male,Primary,24,2.7722256979213538,4,0,0.38978888447069265,1072.2916867055096,7.0,0.312433864484767,0.9017804853853384,0.7802573370173196,0.3785094440383819,0,D,678.0
32,Central,42,Female,None,12,10.397469845913042,1,0,0.040522411696705805,8000.0,22.0,0.793790956016855,0.8637903728044827,0.5654466027757523,0.3561501372973745,1,D,697.0
33,Eastern,30,Male,Primary,12,1.5217902278896773,3,1,0.19182676802440385,1569.1567236593714,16.0,0.773115444598173,0.7347235108448239,0.625678091984196,0.22126793659175828,0,C,812.0
34,Coast,64,Male,Primary,11,6.268709638926456,2,1,0.7763493260270435,8000.0,12.0,0.7172407020508005,0.7545397378473261,0.6685122234038394,0.27225456259872144,0,D,768.0
35,Eastern,25,Female,Secondary,6,3.939418063056124,3,1,0.17928956722869124,3274.47035747044,16.0,0.9654629231136245,0.9438337009714531,0.7793091528666584,0.3437664042436194,0,D,707.0
36,Rift Valley,54,Male,Primary,26,1.2361673542025893,2,0,0.3619300282794188,1787.0235129007667,14.0,0.6791460005524036,0.8816030349070254,0.72467562346534,0.3772002223005861,0,D,679.0
37,Central,28,Male,Primary,10,2.0711726582385253,4,0,0.32406437703220436,159.76183295480627,16.0,0.3685365552721337,0.9156150722672624,0.5201539674626582,0.47565469847571457,1,E,595.0
38,Western,56,Male,None,38,3.021633153852358,2,0,0.35436873379384576,4020.391533297388,8.0,0.6962832713013742,0.8264796574522997,0.8547583969103548,0.42964328967451904,1,E,634.0
39,Rift Valley,34,Male,Primary,9,8.950078303534259,1,0,0.9378053813361396,8000.0,13.0,0.2746534721079094,0.8043328997889685,0.5837538033798622,0.417022748545205,1,E,645.0
40,Central,29,Female,None,11,3.001968994812032,3,0,0.4485987878279424,1899.974064257945,11.0,0.3661998130507865,0.767814766860637,0.6764233372624433,0.4294998498592144,0,E,634.0
41,Rift Valley,33,Female,None,15,11.411477946801375,2,0,0.7525141560191522,8000.0,10.0,0.7535201012967342,0.5388606087724639,0.8707597362456472,0.44333921185076397,0,E,623.0
42,Central,29,Female,None,11,2.5731736609885894,1,0,0.4035348979182033,3200.05775911126,18.0,0.804267765430677,0.7860930842504988,0.6312670198791772,0.2922639271161595,0,D,751.0
43,Eastern,35,Female,Secondary,9,3.592067763287114,2,0,0.22581321935666118,3262.4318102439966,13.0,0.3130765417745142,0.8137900680705139,0.7105861952128739,0.49548154321756094,0,E,578.0
44,Central,59,Female,Secondary,9,9.562496492225138,3,0,0.38756003807261735,6425.296440782052,12.0,0.6956132796960368,0.3832629998817671,0.3490935038091145,0.41359085820521907,1,E,648.0
45,Western,51,Female,None,5,1.2123152343323769,2,0,0.15370465962958252,829.8233343829031,10.0,0.42144297880348336,0.8225836488976483,0.34203221056165645,0.47734661378133086,0,E,594.0
46,Rift Valley,28,Male,Primary,10,8.682462173027998,4,0,0.7245399391909463,3518.7170832141164,11.0,0.6507812307446408,0.6337527509645059,0.5429306891785237,0.4869377937281016,1,E,586.0
47,Rift Valley,34,Male,Primary,16,1.9734984443931112,3,1,0.20141086173815984,1354.5502223147787,12.0,0.7032428267396428,0.883424660500222,0.40450919405546887,0.3911261440169535,1,D,667.0
48,Rift Valley,63,Female,None,38,2.7547581544862174,2,0,0.6742864273450593,3837.969718677447,10.0,0.7332545972254653,0.5793058090284376,0.8984198089830469,0.31623873736236896,0,D,731.0
49,Central,57,Male,None,22,4.056917890393955,1,0,0.8546091566200713,6927.750428570991,18.0,0.8159128114651713,0.7129854205987891,0.596285447717933,0.3846909734689751,1,D,673.0
50,Coast,62,Female,Primary,5,1.740269819607368,2,0,0.4401681105793322,1577.4469645251393,13.0,0.791520026406064,0.7933781282478828,0.6422135550317846,0.34438067929984223,0,D,707.0
51,Nyanza,32,Male,Primary,1,11.411477946801375,2,0,0.45144767444337236,8000.0,18.0,0.6228632903364417,0.6815648422477648,0.8662678927467998,0.3942665504057507,1,D,664.0
52,Eastern,48,Male,Primary,26,3.9680618308324442,3,0,0.23866296262906797,3200.931784072097,20.0,0.7411127940001568,0.7911115830133296,0.8789701191103795,0.3908863522309287,0,D,667.0
53,Eastern,63,Male,Primary,18,3.7070818691512066,2,1,0.5311658414237815,6418.4951287517015,11.0,0.8247589339316543,0.78077360625027,0.7234831758443276,0.22126793659175828,1,C,812.0
54,Western,57,Male,None,26,2.0716355147714065,3,0,0.5005083920903567,1896.8402478696794,19.0,0.6739085364234143,0.553205546388121,0.9527605019502527,0.4278755116240418,1,E,636.0
55,Eastern,43,Female,Primary,15,1.1348899794972283,2,0,0.08956942028235088,951.0283151006577,20.0,0.894355176623547,0.9286300987542161,0.9674474821462622,0.3383143465179069,1,D,712.0
56,Central,26,Male,None,2,8.2390587510453,2,0,0.2912269010219607,8000.0,14.0,0.98924571268211,0.7632211773787059,0.7079490363200812,0.3540985797462741,0,D,699.0
57,Central,35,Male,Primary,15,2.6731790252618457,1,0,0.6520733078880622,4501.714032249492,17.0,0.8767412291791251,0.8015485978492085,0.6601743036408819,0.4067790466295284,0,E,654.0
58,Central,59,Male,Primary,11,4.326097041757042,2,0,0.5490405600525246,3732.453360028008,13.0,0.4438434920915538,0.6891294174145984,0.6047190959492902,0.4820677547725472,0,E,590.0
59,Rift Valley,41,Male,Secondary,20,1.5204635110788207,2,1,0.4391258019153168,2600.512834352762,23.0,0.40248227724433183,0.6412300130434923,0.7566345941408236,0.45258423542214504,0,E,615.0
60,Rift Valley,27,Male,Primary,9,6.366962466627249,4,0,0.6957591409991268,2176.6973877007663,13.0,0.519979175172864,0.8552514539196706,0.9062558243660295,0.4686839032672817,0,E,601.0
61,Central,46,Female,None,5,2.581173285732084,2,0,0.41656011967919115,2873.425881037209,12.0,0.4911490833868771,0.5865827719178279,0.6003385850788795,0.4153394734285698,0,E,646.0
62,Eastern,59,Female,Secondary,33,0.8851220348964733,3,1,0.872323948823627,189.34430862336336,21.0,0.9363069768760285,0.795550037651003,0.5274219192336767,0.3146149161601299,0,D,732.0
63,Rift Valley,45,Male,Secondary,25,2.6338590328645126,2,1,0.19765623959949485,2811.7198646977677,11.0,0.3699309334368121,0.7984261791220599,0.7476911402389295,0.4129194524198345,0,E,649.0
64,Central,49,Female,Tertiary,7,6.191115555726779,1,1,0.7003802289861211,8000.0,18.0,0.6052962648279108,0.869324376730733,0.8217135371164604,0.32983868771703906,0,D,719.0
