farmer_id,region,age,gender,education_level,years_farming,acreage_ha,soil_class,coop_member,mpesa_transactions_per_month,mpesa_consistency_score,mpesa_savings_frequency,mpesa_avg_savings_balance,mpesa_bill_payment_score,mpesa_income_regularity,mpesa_business_contacts,water_access_index,rainfall_anomaly,ndvi_mean,expected_yield_t_ha,expected_income_usd,expected_income_kes,advisory_interactions,pd_latent,default_12m,risk_tier,credit_score
0,Rift Valley,52,Male,None,11,3.060686923514117,3,0,15,0.9318555418639107,5,7146.063755811456,0.7664449393610907,0.8326793805343022,14,0.8937916437251967,0.8149795336663812,0.41443567788534097,2.0659833700510317,2359.0117375625337,271286.3498196914,1,0.34159899134133775,0,D,709
1,Coast,46,Male,None,10,6.15135905550431,2,0,14,0.8173694392936413,7,16938.42831195392,0.6871514540027582,0.6205508034335075,5,0.21700310338648252,-0.3478420989035617,0.7591807515659335,3.4515308904335495,6324.959286171258,727370.3179096946,5,0.2821607997376573,0,D,760
2,Nyanza,40,Female,Primary,4,5.751297944692717,3,0,13,0.9085324603246674,2,3325.997224446317,0.6579854504645462,0.5180089610144352,13,0.31409837421580244,-0.19240079038498473,0.4970825309068674,2.4985196839584516,4097.951226584284,471264.3910571927,3,0.4938358868900047,0,E,580
3,Western,37,Male,Primary,20,2.1053050834592777,2,0,17,0.795210958037749,3,4814.406058154531,0.531119324172599,0.442038713950501,7,0.09658702008096132,-1.1209098954127066,0.6100106284696587,2.79669334301219,1403.1884808097948,161366.6752931264,2,0.4011022122882738,1,E,659
4,Central,60,Female,Tertiary,5,5.395966083295381,2,0,12,0.6391449232563989,5,2148.628891504286,0.3039736874759059,0.7878320324085454,8,0.4514842118783251,-1.2424333854494465,0.8984599183515833,3.1378736230461657,5095.949880745789,586034.2362857658,2,0.36729151453858977,1,D,687
5,Central,60,Male,Primary,1,3.646776384331572,4,0,8,0.8938078715492572,3,2176.795920607839,0.8612269586873171,0.8465504084999894,7,0.340795682906027,-1.7869402086278687,0.6667600508982972,1.2716805458620428,1282.6028671519332,147499.32972247232,1,0.4582222557049017,1,E,610
6,Central,47,Female,Primary,13,2.5748748982279857,1,0,18,0.7786664682125533,4,17746.665050920332,0.7646210410799037,0.29207834153017687,4,0.4418200352556949,0.10303511802289485,0.4863600465116659,4.518532486901131,3126.9771056029313,359602.3671443371,3,0.32194617897195477,0,D,726
7,Eastern,38,Female,None,22,11.90589573212534,4,0,11,0.5688296893883263,3,37816.28784834638,0.6641818629819437,0.7739884800504641,7,0.3253198002372056,-0.06054253254505406,0.6842895245578049,1.3767840273158272,4827.246263948435,555133.32035407,0,0.4447119512694584,0,E,621
8,Western,56,Male,None,13,2.887414274938449,4,0,15,0.7131014121863839,6,3155.1824276203533,0.5811556723157708,0.8030669434602008,6,0.7739668782259063,-2.767023347333292,0.6172931795826684,1.6620542379990684,1536.6990376066212,176720.38932476143,5,0.3966526961841589,0,D,662
9,Nyanza,27,Male,Primary,15,11.113539366392681,3,1,14,0.9084431643675508,3,4832.176423939472,0.5880555225184969,0.8009222659827079,11,0.8545436329962803,-1.5505063144426166,0.5097009241137136,3.4270056503521924,8000.0,920000.0,6,0.3560015733183968,0,D,697
10,Central,51,Male,Secondary,9,2.5275502305523543,2,0,15,0.4111914571044074,2,2007.1071220726121,0.9584591133090498,0.983857594376857,10,0.7715974729989423,1.1929938602591266,0.7827496983791504,3.818189854149144,3019.8765690650403,347285.8054424796,0,0.3857177815013436,0,D,672
